event,event_date,venue,discipline,round,athlete,fis_code,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,2,85.89,16.78,51.0,18.11,1,bdF,1.05,8.2,8.3,2,14op,1.22,7.8,7.7
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,WALLBERG Walter,2532001,3,85.63,18.01,49.1,18.52,1,bdF,1.05,8.9,8.9,2,7oG,1.01,8.9,9.3
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,82.94,17.56,48.2,17.18,1,7oG,1.11,8.5,8.9,2,bp,0.81,9.3,9.3
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,2,80.89,16.89,46.2,17.8,1,7oG,1.11,8.5,8.5,2,bG,0.92,9.2,9.0
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,SCHWINGHAMMER,2533204,3,80.71,16.53,47.7,16.48,1,7op,0.98,7.8,8.3,2,bG,0.92,9.3,9.4
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Men's Moguls,Results Final 2,CAVET Benjamin,2530514,1,84.08,17.86,49.1,17.12,1,bF,0.88,9.0,9.4,2,10op,1.05,8.6,8.6
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,2,82.93,16.93,48.6,17.4,1,10op,1.05,8.6,8.4,2,7oG,1.01,8.2,8.6
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Men's Moguls,Results Final 2,VIERELA Severi,2533386,3,80.8,18.36,46.1,16.34,1,10op,1.05,8.4,8.7,2,7oG,1.01,7.4,7.2
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,1,80.19,16.89,45.3,18.0,1,7oG,1.11,8.6,8.5,2,7op,0.98,8.7,8.7
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,2,76.53,16.54,45.6,14.39,1,7op,0.98,7.8,7.6,2,bG,0.92,7.4,7.5
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,3,76.13,19.58,42.8,13.75,1,7op,0.98,7.2,7.1,2,bG,0.92,7.3,7.4
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,1,84.95,16.95,50.9,17.1,1,bF,0.88,9.4,9.2,2,10op,1.05,8.5,8.5
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Final 2,PAGE Nick,2533462,2,83.55,16.76,49.8,16.99,1,10op,1.05,8.3,8.6,2,7oG,1.01,7.9,8.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Final 2,CAVET Benjamin,2530514,3,74.55,16.9,43.8,13.85,1,bF,0.88,7.1,8.3,2,10op,1.05,6.7,6.8
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,1,77.43,17.61,46.2,13.62,1,7oG,1.11,7.0,6.7,2,bG,0.92,6.6,6.5
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,77.39,17.73,45.5,14.16,1,7op,0.98,6.8,7.1,2,bG,0.92,7.8,8.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,3,75.52,17.39,44.5,13.63,1,7oG,1.11,6.2,6.0,2,7op,0.98,6.5,7.5
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-31,VAL ST. COME (CAN),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,1,87.42,16.33,53.8,17.29,1,bF,0.88,9.5,9.4,2,10op,1.05,8.7,8.4
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-31,VAL ST. COME (CAN),Men's Moguls,Results Final 2,VIEL Julien,2534074,2,80.56,16.35,49.0,15.21,1,10op,1.05,7.8,8.2,2,7op,0.88,7.6,7.9
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-31,VAL ST. COME (CAN),Men's Moguls,Results Final 2,PENTTALA Olli,2528035,3,78.28,16.2,45.8,16.28,1,10op,1.05,8.2,8.5,2,7oG,1.01,7.4,7.5
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-31,VAL ST. COME (CAN),Women's Moguls,Results Final 2,SCHWINGHAMMER,2533204,1,80.07,16.61,48.1,15.36,1,7op,0.98,7.8,7.7,2,bG,0.92,8.5,8.4
