event,event_date,venue,discipline,round,athlete,fis_code,country,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
2024 FIS FREESTYLE NORAM CUP MOGULS,2024-02-24,VAL S TCOME (CAN),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,BOSCO Emma,2532927,AUS,4,63.09,10.68,41.9,10.51,1,bG,0.92,5.9,5.0,2,bL,0.81,6.6,7.0
2024 FIS FREESTYLE NORAM CUP,2024-02-07,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Qualification,BOSCO Emma,2532927,AUS,2,62.64,11.82,39.4,11.42,1,bG,0.92,6.7,6.6,2,bL,0.81,6.0,7.1
2024 FIS FREESTYLE NORAM CUP,2024-02-12,APEX MOUNTAIN RESORT (CAN),Women's Moguls,QUALIFICATION RUN 1 RESULTS Qualification,BOSCO Emma,2532927,AUS,24,65.3,14.05,39.0,12.25,1,bG,0.92,7.2,7.3,2,bL,0.81,7.0,6.8
2024 FIS FREESTYLE NORAM CUP MOGULS,2024-02-24,VAL S TCOME (CAN),Women's Moguls,QUALIFICATION RUN 1 RESULTS Qualification,BOSCO Emma,2532927,AUS,5,58.94,9.62,41.0,8.32,1,S,0.48,6.4,5.7,2,bL,0.81,6.5,6.9
2024 FIS FREESTYLE NORAM CUP FINALS,2024-03-01,"STRATTON, VT (USA)",Women's Moguls,QUALIFICATION RUN 1 RESULTS Qualification,BOSCO Emma,2532927,AUS,17,63.35,13.52,38.4,11.43,1,bF,0.98,6.2,6.4,2,bL,0.81,6.8,6.2
2025 FIS FREESTYLE SKI NORAM CUP,2025-02-12,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Qualification,BOSCO Emma,2532927,AUS,9,57.45,8.4,37.7,11.35,1,bG,0.92,6.4,6.6,2,bL,0.81,6.8,6.5
2025 FIS FREESTYLE NORAM CUP,2025-03-01,STRATTON MOUNTAIN RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Qualification,BOSCO Emma,2532927,AUS,7,67.86,12.68,42.5,12.68,1,bG,0.92,6.2,7.3,2,bL,0.81,7.9,8.1
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Women's Moguls,Results Qualification,BOSCO Emma,2532927,AUS,27,55.77,13.02,33.9,8.85,1,bG,0.92,3.8,4.1,2,bL,0.81,7.1,5.8
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-31,VAL ST. COME (CAN),Women's Moguls,Results Qualification,BOSCO Emma,2532927,AUS,39,21.55,8.97,1.5,11.08,1,bG,0.92,6.0,5.5,2,bL,0.81,7.2,7.1
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-06,DEER VALLEY (USA),Women's Moguls,Results Qualification,BOSCO Emma,2532927,AUS,18,56.31,10.54,33.6,12.17,1,bG,0.92,6.1,6.1,2,bL,0.81,8.1,8.1
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-18,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Qualification,BOSCO Emma,2532927,AUS,22,61.88,13.07,38.8,10.01,1,bG,0.92,4.8,5.0,2,bL,0.81,6.6,7.0
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-07,RUKA (FIN),Women's Moguls,Results Qualification,BOSCO Emma,2532927,AUS,25,57.57,11.64,35.9,10.03,1,bG,0.92,5.0,5.3,2,bL,0.81,6.8,6.3
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-08,RUKA (FIN),Women's Moguls,Results Qualification,BOSCO Emma,2532927,AUS,20,58.25,11.59,37.9,8.76,1,bG,0.92,3.8,3.4,2,bL,0.81,6.8,6.7
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-09,VAL ST. COME (CAN),Women's Moguls,Results Qualification,BOSCO Emma,2532927,AUS,27,60.1,13.72,37.5,8.88,1,bG,0.92,5.2,5.5,2,bL,0.81,5.4,4.4
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-16,WATERVILLE VALLEY RESORT (USA),Women's Moguls,Results Qualification,BOSCO Emma,2532927,AUS,23,62.99,12.33,41.1,9.56,1,bG,0.92,4.8,5.7,2,bL,0.81,5.6,6.1
2025 FIS FREESTYLE NORAM CUP,2025-03-01,STRATTON MOUNTAIN RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 1,COOTE Xanthia,2538150,AUS,6,70.35,13.06,44.4,12.89,1,bG,0.92,6.9,7.6,2,bp,0.81,7.5,7.9
2025 FIS FREESTYLE NORAM CUP,2025-03-01,STRATTON MOUNTAIN RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,COOTE Xanthia,2538150,AUS,6,42.8,11.93,24.0,6.87,1,bG,0.92,6.8,7.1,2,S,0.48,1.0,1.0
2024 FIS FREESTYLE NORAM CUP,2024-02-12,APEX MOUNTAIN RESORT (CAN),Women's Moguls,QUALIFICATION RUN 1 RESULTS Qualification,COOTE Xanthia,2538150,AUS,27,61.55,15.29,32.5,13.76,1,3,0.78,8.2,9.0,2,bT,0.78,8.6,9.5
2024 FIS FREESTYLE NORAM CUP MOGULS,2024-02-24,VAL S TCOME (CAN),Women's Moguls,QUALIFICATION RUN 1 RESULTS Qualification,COOTE Xanthia,2538150,AUS,34,13.48,2.6,2.2,8.68,1,3,0.78,4.8,4.6,2,bT,0.78,6.6,6.3
2024 FIS FREESTYLE NORAM CUP FINALS,2024-03-01,"STRATTON, VT (USA)",Women's Moguls,QUALIFICATION RUN 1 RESULTS Qualification,COOTE Xanthia,2538150,AUS,39,28.51,8.25,9.2,11.06,1,bG,0.92,6.1,6.6,2,bp,0.81,6.5,6.4
