event,event_date,venue,discipline,round,athlete,fis_code,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score,podium_rank
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Women's Moguls,Results Qualification,LAFFONT Perrine,2531156,2,76.35,16.84,47.3,12.21,1,bp,0.81,7.5,7.8,2,7op,0.98,6.2,6.1,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Men's Moguls,Results Final 1,KOLMAKOV Pavel,2528846,2,82.24,17.06,47.8,17.38,1,10op,1.05,7.7,8.3,2,7oG,1.01,8.7,9.1,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Men's Moguls,Results Final 2,KOLMAKOV Pavel,2528846,2,78.72,16.46,46.5,15.76,1,10op,1.05,7.7,8.1,2,7oG,1.01,7.0,7.8,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Men's Moguls,Results Qualification,KOLMAKOV Pavel,2528846,1,79.44,15.54,46.6,17.3,1,10op,1.05,8.3,8.7,2,7oG,1.01,8.1,8.5,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,5,78.47,17.64,47.0,13.83,1,10op,1.05,7.5,7.8,2,7op,0.88,6.5,6.7,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Men's Moguls,Results Final 2,GRAHAM Matt,2441426,3,78.42,17.27,46.4,14.75,1,10op,1.05,7.3,7.4,2,7op,0.88,8.0,8.0,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Women's Moguls,Results Final 1,LAFFONT Perrine,2531156,1,79.05,17.87,47.6,13.58,1,bp,0.81,7.2,7.1,2,7op,0.98,7.9,8.0,1
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,1,77.96,18.34,47.2,12.42,1,bp,0.81,7.9,7.8,2,7op,0.98,6.1,6.3,1
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Women's Moguls,Results Final 1,KAUF Jaelin,2529064,2,78.21,19.28,46.9,12.03,1,bG,0.92,6.7,6.8,2,bp,0.81,7.2,7.2,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,76.3,18.94,43.9,13.46,1,bG,0.92,8.2,8.3,2,7op,0.98,6.0,6.0,2
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Women's Moguls,Results Final 1,JOHNSON Tess,2532270,5,73.93,16.63,43.3,14.0,1,7op,0.98,5.7,5.9,2,bG,0.92,9.2,8.9,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Women's Moguls,Results Final 2,JOHNSON Tess,2532270,3,73.35,16.52,43.0,13.83,1,7op,0.98,6.3,5.8,2,bG,0.92,8.7,8.5,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Women's Moguls,Results Qualification,JOHNSON Tess,2532270,5,68.14,15.64,38.2,14.3,1,7op,0.98,6.4,6.2,2,bG,0.92,8.9,8.8,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Men's Moguls,Results Final 1,HORISHIMA Ikuma,2529645,3,78.59,17.0,45.4,16.19,1,bF,0.88,9.2,9.0,2,10op,1.05,7.8,7.8,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,1,82.68,17.75,47.5,17.43,1,bdF,1.05,8.4,8.4,2,10op,1.05,8.2,8.2,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Men's Moguls,Results Qualification,HORISHIMA Ikuma,2529645,3,77.63,16.09,47.2,14.34,1,bF,0.88,8.4,8.4,2,7op,0.88,8.0,7.8,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Men's Moguls,Results Final 1,WALLBERG Walter,2532001,1,80.52,17.83,46.0,16.69,1,bdF,1.05,8.6,8.4,2,10op,1.05,7.6,7.2,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Men's Moguls,Results Final 2,WALLBERG Walter,2532001,2,79.88,17.98,45.0,16.9,1,bdF,1.05,8.6,8.3,2,10op,1.05,7.6,7.7,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Men's Moguls,Results Qualification,WALLBERG Walter,2532001,1,80.27,17.7,45.4,17.17,1,bF,0.88,9.2,9.3,2,7oG,1.01,8.9,9.0,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Men's Moguls,Results Final 1,KINGSBURY Mikael,2484937,2,80.11,17.22,47.3,15.59,1,bdF,1.05,7.8,7.7,2,10op,1.05,7.2,7.0,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,3,79.08,18.45,44.1,16.53,1,bdF,1.05,8.2,8.3,2,10op,1.05,7.5,7.5,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Men's Moguls,Results Qualification,KINGSBURY Mikael,2484937,2,79.5,17.48,47.6,14.42,1,bF,0.88,9.2,9.5,2,7op,0.88,7.1,7.0,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,1,83.12,19.4,46.5,17.22,1,7oG,1.11,8.0,7.8,2,bG,0.92,9.4,9.0,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,84.18,19.65,46.7,17.83,1,7oG,1.11,8.4,8.5,2,bG,0.92,9.2,9.2,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,1,82.73,18.16,47.7,16.87,1,7oG,1.11,7.8,7.7,2,bG,0.92,9.1,8.9,1
