event,event_date,venue,discipline,round,athlete,fis_code,country,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,CABROL Camille,2530274,FRA,18,63.55,15.36,37.6,10.59,1,bT,0.78,6.8,7.4,2,bG,0.92,5.5,5.5
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,YANG Ya,2537259,CHN,25,42.26,11.03,22.6,8.63,1,bp,0.81,5.1,6.0,2,bG,0.92,4.2,4.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,BROWN Berkley,2531523,CAN,13,72.87,16.79,43.3,12.78,1,bT,0.78,7.8,8.0,2,bG,0.92,7.1,7.3
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,1,81.27,17.96,49.1,14.21,1,10op,1.05,7.1,7.5,2,7op,0.88,7.6,7.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,WALCZYK Dylan,2527085,USA,8,73.64,14.82,45.8,13.02,1,7oG,1.01,6.8,7.5,2,7op,0.88,6.9,6.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,NAKAO Haruka,2533488,JPN,12,66.5,14.09,39.9,12.51,1,bG,0.92,5.9,6.3,2,7op,0.98,7.0,7.1
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,LAFFONT Perrine,2531156,FRA,2,82.3,18.79,49.0,14.51,1,bp,0.81,8.4,8.7,2,7op,0.98,7.7,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,LINTON Jessica,2533613,CAN,12,69.36,15.67,42.3,11.39,1,bG,0.92,6.3,6.5,2,bp,0.81,7.0,6.6
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,GERKEN SCHOFIELD,2530540,GBR,8,75.89,18.03,44.7,13.16,1,bG,0.92,7.1,7.1,2,bp,0.81,7.9,8.5
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,KOLMAKOV Pavel,2528846,KAZ,14,73.45,17.04,45.6,10.81,1,bdF,1.05,4.8,5.0,2,10op,1.05,5.2,5.6
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,GRAVENFORS Filip,2534858,SWE,15,71.86,18.63,40.7,12.53,1,bF,0.88,8.5,8.4,2,7op,0.88,5.6,6.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Final 1,MARCELLINI Dylan,2534089,USA,5,75.89,15.08,46.2,14.61,1,7op,0.88,6.7,6.8,2,7oG,1.01,8.4,8.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,DUFRESNE Gabriel,2530240,CAN,9,72.16,16.01,41.9,14.25,1,bF,0.88,8.4,8.5,2,7op,0.88,7.7,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,GERKEN SCHOFIELD,2530540,GBR,6,73.43,17.22,43.5,12.71,1,bG,0.92,7.6,7.9,2,bp,0.81,7.4,6.4
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,NAKAO Haruka,2533488,JPN,13,67.17,14.98,39.8,12.39,1,bG,0.92,7.2,7.2,2,7op,0.98,5.7,6.1
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,SCHWINGHAMMER,2533204,CAN,5,77.17,18.88,44.5,13.79,1,bT,0.78,8.5,8.6,2,bG,0.92,7.7,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,SOAR Hannah,2531373,USA,10,74.73,17.89,45.9,10.94,1,bp,0.81,6.2,6.3,2,bG,0.92,6.4,6.4
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 2,KAWAMURA Anri,2534852,JPN,1,82.25,20.0,47.2,15.05,1,bp,0.81,8.0,8.0,2,7op,0.98,8.7,8.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,HORISHIMA Ikuma,2529645,JPN,2,83.22,17.61,47.5,18.11,1,7oG,1.01,9.3,9.0,2,10op,1.05,8.5,8.4
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,6,78.49,17.23,47.4,13.86,1,bdF,1.05,6.8,6.3,2,7op,0.88,8.1,7.8
