event,event_date,venue,discipline,athlete,fis_code,podium_rank,metric,Qualification,Final 1,Deciding Final
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,ANTHONY Jakara,2530720,1,jump_2_judge_6_score,,8.4,8.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,ANTHONY Jakara,2530720,1,jump_2_judge_7_score,,8.2,8.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,KAWAMURA Anri,2534852,2,run_score,,79.06,80.02
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,KAWAMURA Anri,2534852,2,air_total,,14.76,14.05
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,KAWAMURA Anri,2534852,2,turns_total,,45.8,46.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,KAWAMURA Anri,2534852,2,time_points,,18.5,19.17
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,KAWAMURA Anri,2534852,2,jump_1_degree_diff,,0.98,0.98
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,KAWAMURA Anri,2534852,2,jump_2_degree_diff,,0.92,0.92
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,KAWAMURA Anri,2534852,2,jump_1_judge_6_score,,7.6,7.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,KAWAMURA Anri,2534852,2,jump_1_judge_7_score,,8.1,7.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,KAWAMURA Anri,2534852,2,jump_2_judge_6_score,,7.6,7.7
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,KAWAMURA Anri,2534852,2,jump_2_judge_7_score,,7.8,7.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,LAFFONT Perrine,2531156,3,run_score,,75.71,76.08
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,LAFFONT Perrine,2531156,3,air_total,,13.16,12.97
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,LAFFONT Perrine,2531156,3,turns_total,,43.1,43.7
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,LAFFONT Perrine,2531156,3,time_points,,19.45,19.41
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,LAFFONT Perrine,2531156,3,jump_1_degree_diff,,0.98,0.98
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,LAFFONT Perrine,2531156,3,jump_2_degree_diff,,0.81,0.81
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,LAFFONT Perrine,2531156,3,jump_1_judge_6_score,,7.3,7.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,LAFFONT Perrine,2531156,3,jump_1_judge_7_score,,7.6,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,LAFFONT Perrine,2531156,3,jump_2_judge_6_score,,7.0,7.1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,LAFFONT Perrine,2531156,3,jump_2_judge_7_score,,7.5,6.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,HORISHIMA Ikuma,2529645,1,run_score,,80.43,82.66
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,HORISHIMA Ikuma,2529645,1,air_total,,16.99,17.56
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,HORISHIMA Ikuma,2529645,1,turns_total,,48.1,48.7
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,HORISHIMA Ikuma,2529645,1,time_points,,15.34,16.4
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,HORISHIMA Ikuma,2529645,1,jump_1_degree_diff,,1.01,1.01
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,HORISHIMA Ikuma,2529645,1,jump_2_degree_diff,,1.05,1.05
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,HORISHIMA Ikuma,2529645,1,jump_1_judge_6_score,,8.2,8.6
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,HORISHIMA Ikuma,2529645,1,jump_1_judge_7_score,,8.3,8.0
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,HORISHIMA Ikuma,2529645,1,jump_2_judge_6_score,,8.4,8.7
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,HORISHIMA Ikuma,2529645,1,jump_2_judge_7_score,,8.1,8.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,KINGSBURY Mikael,2484937,2,run_score,,78.56,80.85
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,KINGSBURY Mikael,2484937,2,air_total,,16.43,17.26
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,KINGSBURY Mikael,2484937,2,turns_total,,47.1,48.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,KINGSBURY Mikael,2484937,2,time_points,,15.03,15.29
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,KINGSBURY Mikael,2484937,2,jump_1_degree_diff,,1.05,1.05
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,KINGSBURY Mikael,2484937,2,jump_2_degree_diff,,1.05,1.05
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,KINGSBURY Mikael,2484937,2,jump_1_judge_6_score,,7.2,7.7
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,KINGSBURY Mikael,2484937,2,jump_1_judge_7_score,,7.6,8.1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,KINGSBURY Mikael,2484937,2,jump_2_judge_6_score,,8.4,8.4
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,KINGSBURY Mikael,2484937,2,jump_2_judge_7_score,,8.1,8.7
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,McDONALD Cole,2534511,3,run_score,,77.79,75.17
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,McDONALD Cole,2534511,3,air_total,,15.47,15.79
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,McDONALD Cole,2534511,3,turns_total,,46.9,42.6
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,McDONALD Cole,2534511,3,time_points,,15.42,16.78
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,McDONALD Cole,2534511,3,jump_1_degree_diff,,0.88,1.05
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,McDONALD Cole,2534511,3,jump_2_degree_diff,,1.05,1.05
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,McDONALD Cole,2534511,3,jump_1_judge_6_score,,8.1,6.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,McDONALD Cole,2534511,3,jump_1_judge_7_score,,8.6,6.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,McDONALD Cole,2534511,3,jump_2_judge_6_score,,8.2,8.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,McDONALD Cole,2534511,3,jump_2_judge_7_score,,7.3,8.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,ANTHONY Jakara,2530720,1,run_score,,80.68,79.7
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,ANTHONY Jakara,2530720,1,air_total,,16.94,15.96
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,ANTHONY Jakara,2530720,1,turns_total,,47.6,47.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,ANTHONY Jakara,2530720,1,time_points,,16.14,16.24
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,ANTHONY Jakara,2530720,1,jump_1_degree_diff,,1.11,1.11
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,ANTHONY Jakara,2530720,1,jump_2_degree_diff,,0.92,0.92
