event.discipline,athlete.fis_code,athlete.name,athlete.nsa_code,final_appearances,wins,podiums
Women's Moguls,2537578,MICHAUD Dory,USA,0,0,0
Women's Moguls,2537759,MICHL Katharina,GER,0,0,0
Men's Moguls,2537221,MICKEL Freddie,USA,0,0,0
Men's Moguls,2537616,MOBERG Elis,SWE,0,0,0
Women's Moguls,2538812,MONT Isabel,USA,0,0,0
Men's Moguls,2534167,MOTONO Hibiki,JPN,0,0,0
Men's Moguls,2532044,MOUILLE Thibaud,FRA,2,0,0
Men's Moguls,2530684,MURATA Yutaro,JPN,0,0,0
Men's Moguls,2534254,MURPHY George,AUS,0,0,0
Men's Moguls,2535235,MYSKO Alex,CAN,0,0,0
Women's Moguls,2538430,McLARNON Abby,USA,1,0,0
Men's Moguls,2539302,McMANUS Darren,CAN,0,0,0
Men's Moguls,2539132,NAKAHARA Osuke,JPN,0,0,0
Women's Moguls,2533488,NAKAO Haruka,JPN,1,0,0
Men's Moguls,2534859,NILSSON Knut,SWE,0,0,0
Women's Moguls,2540042,NILSSON Nova,SWE,0,0,0
Men's Moguls,2531352,NISHIZAWA Taketo,JPN,0,0,0
Men's Moguls,2532059,NOVITSKII Nikita,AIN,0,0,0
Men's Moguls,2540541,OLEKSIUK Rostyslav,UKR,0,0,0
Men's Moguls,2534212,OLGAARD Robin,SWE,0,0,0
Men's Moguls,2539200,ORGELDINGER Jon,USA,0,0,0
Women's Moguls,2534962,OWENS Kai,USA,2,0,0
Men's Moguls,2539246,PANELLI Hunter,USA,0,0,0
Women's Moguls,2538797,PAPKE Makayla,USA,0,0,0
Men's Moguls,2534246,PARADIS Louis,CAN,0,0,0
Men's Moguls,2539000,PARSONS Graden,CAN,0,0,0
Men's Moguls,2534403,PASCARELLA Paolo,SUI,0,0,0
Women's Moguls,2537886,PASSARETTA Manuela,ITA,0,0,0
Women's Moguls,2538892,PEDERSON Emily,USA,0,0,0
Women's Moguls,2535795,PERNICE Lucy,AUS,0,0,0
Women's Moguls,2538575,PERSSON Lenna,USA,0,0,0
Men's Moguls,2535642,PETRONE Jack,USA,0,0,0
Women's Moguls,2538815,POWELL Isabel,USA,0,0,0
Women's Moguls,2530097,RAMSAUER Katharina,AUT,0,0,0
Men's Moguls,2537488,RASTRUBA Denis,KAZ,0,0,0
Women's Moguls,2539394,RIDGEWAY Quinn,CAN,0,0,0
Men's Moguls,2538584,ROBERTS Charlie,CAN,0,0,0
Men's Moguls,2538073,RODMAN Slader,USA,0,0,0
Women's Moguls,2538941,ROGAN Breyer,USA,0,0,0
Men's Moguls,2532862,ROMANOV Sergey,KAZ,0,0,0
Men's Moguls,2539451,RONKAINEN Matias,FIN,0,0,0
Men's Moguls,2535799,ROWLEY Tristan,AUS,0,0,0
Women's Moguls,2538791,ROY Anne-Laure,CAN,0,0,0
Men's Moguls,2535640,ROY Jeremie,CAN,0,0,0
Men's Moguls,2537324,RUSSAKOV Semyon,KAZ,0,0,0
Women's Moguls,2537750,RUSSELL Kaya,USA,0,0,0
Men's Moguls,2534213,RUTGERSSON Marcus,SWE,0,0,0
Men's Moguls,2528237,SALONEN Jimi,FIN,0,0,0
Women's Moguls,2534483,SAMANKOVA Dorota,CZE,0,0,0
Women's Moguls,2539495,SATKIEWICZ Mia,USA,0,0,0
